Revenue,Survey question,Response option,Percent,Question sample size
"$500,001-$1 million","Reasons business relocated, past 5 years",Expiration of lease,26%,229
"$500,001-$1 million","Reasons business relocated, past 5 years",Owner's personal/family reasons,17%,229
"$500,001-$1 million","Reasons business relocated, past 5 years",Downsizing,12%,229
"$500,001-$1 million","Reasons business relocated, past 5 years","Proximity (near customers, workers, suppliers, etc.)",9%,229
"$500,001-$1 million","Reasons business relocated, past 5 years",Consolidation,5%,229
"$500,001-$1 million","Reasons business relocated, past 5 years",Other reason,2%,229
"$250,001-$500,000","Reasons business relocated, past 5 years",More suitable space/amenities,36%,239
"$250,001-$500,000","Reasons business relocated, past 5 years",Cost savings,29%,239
"$250,001-$500,000","Reasons business relocated, past 5 years",Expiration of lease,29%,239
"$250,001-$500,000","Reasons business relocated, past 5 years",Expansion,24%,239
"$250,001-$500,000","Reasons business relocated, past 5 years",Owner's personal/family reasons,18%,239
"$250,001-$500,000","Reasons business relocated, past 5 years",Downsizing,16%,239
"$250,001-$500,000","Reasons business relocated, past 5 years","Proximity (near customers, workers, suppliers, etc.)",13%,239
"$250,001-$500,000","Reasons business relocated, past 5 years",Consolidation,3%,239
"$250,001-$500,000","Reasons business relocated, past 5 years",Other reason,3%,239
$1 million-$5 million,"Reasons business relocated, past 5 years",Expansion,39%,371
$1 million-$5 million,"Reasons business relocated, past 5 years",More suitable space/amenities,39%,371
$1 million-$5 million,"Reasons business relocated, past 5 years",Expiration of lease,29%,371
$1 million-$5 million,"Reasons business relocated, past 5 years",Cost savings,24%,371
$1 million-$5 million,"Reasons business relocated, past 5 years",Owner's personal/family reasons,17%,371
$1 million-$5 million,"Reasons business relocated, past 5 years",Downsizing,15%,371
$1 million-$5 million,"Reasons business relocated, past 5 years","Proximity (near customers, workers, suppliers, etc.)",9%,371
$1 million-$5 million,"Reasons business relocated, past 5 years",Consolidation,6%,371
$1 million-$5 million,"Reasons business relocated, past 5 years",Other reason,1%,371
"$250,001-$500,000",Reasons for pursuing financing at finance company,Chance of being funded,57%,60
"$250,001-$500,000",Reasons for pursuing financing at finance company,Existing relationship with lender,38%,60
"$250,001-$500,000",Reasons for pursuing financing at finance company,Speed or decision of funding,38%,60
"$250,001-$500,000",Reasons for pursuing financing at finance company,No collateral was required,35%,60
"$250,001-$500,000",Reasons for pursuing financing at finance company,Denied by other lender(s),33%,60
"$250,001-$500,000",Reasons for pursuing financing at finance company,Cost or interest rate,32%,60
"$250,001-$500,000",Reasons for pursuing financing at finance company,Recommendation or referral,10%,60
"$250,001-$500,000",Reasons for pursuing financing at finance company,Flexibility of product,7%,60
"$250,001-$500,000",Reasons for pursuing financing at finance company,Other,0%,60
"$500,001-$1 million",Reasons for pursuing financing at finance company,Speed or decision of funding,48%,71
"$500,001-$1 million",Reasons for pursuing financing at finance company,Existing relationship with lender,37%,71
"$500,001-$1 million",Reasons for pursuing financing at finance company,Chance of being funded,35%,71
"$500,001-$1 million",Reasons for pursuing financing at finance company,Cost or interest rate,24%,71
"$500,001-$1 million",Reasons for pursuing financing at finance company,Denied by other lender(s),21%,71
"$500,001-$1 million",Reasons for pursuing financing at finance company,No collateral was required,19%,71
"$500,001-$1 million",Reasons for pursuing financing at finance company,Recommendation or referral,10%,71
"$500,001-$1 million",Reasons for pursuing financing at finance company,Flexibility of product,10%,71
"$500,001-$1 million",Reasons for pursuing financing at finance company,Other,0%,71
$1 million-$5 million,Reasons for pursuing financing at finance company,Existing relationship with lender,42%,105
$1 million-$5 million,Reasons for pursuing financing at finance company,Chance of being funded,41%,105
$1 million-$5 million,Reasons for pursuing financing at finance company,Speed or decision of funding,31%,105
$1 million-$5 million,Reasons for pursuing financing at finance company,Cost or interest rate,24%,105
$1 million-$5 million,Reasons for pursuing financing at finance company,Recommendation or referral,22%,105
$1 million-$5 million,Reasons for pursuing financing at finance company,No collateral was required,19%,105
$1 million-$5 million,Reasons for pursuing financing at finance company,Flexibility of product,18%,105
$1 million-$5 million,Reasons for pursuing financing at finance company,Denied by other lender(s),16%,105
$1 million-$5 million,Reasons for pursuing financing at finance company,Other,0%,105
"$50,001-$100,000",Reasons for pursuing financing at large bank,Existing relationship with lender,64%,70
"$50,001-$100,000",Reasons for pursuing financing at large bank,Chance of being funded,46%,70
"$50,001-$100,000",Reasons for pursuing financing at large bank,Cost or interest rate,43%,70
"$50,001-$100,000",Reasons for pursuing financing at large bank,Speed or decision of funding,41%,70
"$50,001-$100,000",Reasons for pursuing financing at large bank,Flexibility of product,25%,70
"$50,001-$100,000",Reasons for pursuing financing at large bank,No collateral was required,19%,70
"$50,001-$100,000",Reasons for pursuing financing at large bank,Recommendation or referral,16%,70
"$50,001-$100,000",Reasons for pursuing financing at large bank,Denied by other lender(s),11%,70
"$50,001-$100,000",Reasons for pursuing financing at large bank,Other,0%,70
$5 million-$10 million,Reasons for pursuing financing at large bank,Existing relationship with lender,65%,75
$5 million-$10 million,Reasons for pursuing financing at large bank,Chance of being funded,41%,75
$5 million-$10 million,Reasons for pursuing financing at large bank,Speed or decision of funding,36%,75
$5 million-$10 million,Reasons for pursuing financing at large bank,No collateral was required,15%,75
$5 million-$10 million,Reasons for pursuing financing at large bank,Flexibility of product,12%,75
$5 million-$10 million,Reasons for pursuing financing at large bank,Cost or interest rate,11%,75
$5 million-$10 million,Reasons for pursuing financing at large bank,Recommendation or referral,6%,75
$5 million-$10 million,Reasons for pursuing financing at large bank,Denied by other lender(s),2%,75
$5 million-$10 million,Reasons for pursuing financing at large bank,Other,0%,75
More than $10 million,Reasons for pursuing financing at large bank,Existing relationship with lender,76%,98
More than $10 million,Reasons for pursuing financing at large bank,Cost or interest rate,24%,98
More than $10 million,Reasons for pursuing financing at large bank,Speed or decision of funding,22%,98
More than $10 million,Reasons for pursuing financing at large bank,Chance of being funded,18%,98
More than $10 million,Reasons for pursuing financing at large bank,Flexibility of product,16%,98
More than $10 million,Reasons for pursuing financing at large bank,No collateral was required,15%,98
More than $10 million,Reasons for pursuing financing at large bank,Recommendation or referral,11%,98
More than $10 million,Reasons for pursuing financing at large bank,Denied by other lender(s),10%,98
More than $10 million,Reasons for pursuing financing at large bank,Other,0%,98
"$100,001-$250,000",Reasons for pursuing financing at large bank,Existing relationship with lender,56%,144
"$100,001-$250,000",Reasons for pursuing financing at large bank,No collateral was required,37%,144
"$100,001-$250,000",Reasons for pursuing financing at large bank,Chance of being funded,27%,144
"$100,001-$250,000",Reasons for pursuing financing at large bank,Flexibility of product,23%,144
"$100,001-$250,000",Reasons for pursuing financing at large bank,Speed or decision of funding,23%,144
"$100,001-$250,000",Reasons for pursuing financing at large bank,Cost or interest rate,22%,144
"$100,001-$250,000",Reasons for pursuing financing at large bank,Denied by other lender(s),18%,144
"$100,001-$250,000",Reasons for pursuing financing at large bank,Recommendation or referral,15%,144
"$100,001-$250,000",Reasons for pursuing financing at large bank,Other,2%,144
"$250,001-$500,000",Reasons for pursuing financing at large bank,Existing relationship with lender,58%,162
"$250,001-$500,000",Reasons for pursuing financing at large bank,Chance of being funded,39%,162
"$250,001-$500,000",Reasons for pursuing financing at large bank,Speed or decision of funding,27%,162
"$250,001-$500,000",Reasons for pursuing financing at large bank,Cost or interest rate,26%,162
"$250,001-$500,000",Reasons for pursuing financing at large bank,No collateral was required,22%,162
"$250,001-$500,000",Reasons for pursuing financing at large bank,Recommendation or referral,19%,162
"$250,001-$500,000",Reasons for pursuing financing at large bank,Denied by other lender(s),13%,162
"$250,001-$500,000",Reasons for pursuing financing at large bank,Flexibility of product,9%,162
"$250,001-$500,000",Reasons for pursuing financing at large bank,Other,1%,162
"$500,001-$1 million",Reasons for pursuing financing at large bank,Existing relationship with lender,59%,195
"$500,001-$1 million",Reasons for pursuing financing at large bank,Cost or interest rate,32%,195
"$500,001-$1 million",Reasons for pursuing financing at large bank,Speed or decision of funding,31%,195
"$500,001-$1 million",Reasons for pursuing financing at large bank,Chance of being funded,29%,195
"$500,001-$1 million",Reasons for pursuing financing at large bank,Flexibility of product,14%,195
"$500,001-$1 million",Reasons for pursuing financing at large bank,No collateral was required,14%,195
"$500,001-$1 million",Reasons for pursuing financing at large bank,Recommendation or referral,11%,195
"$500,001-$1 million",Reasons for pursuing financing at large bank,Denied by other lender(s),10%,195
"$500,001-$1 million",Reasons for pursuing financing at large bank,Other,0%,195
$1 million-$5 million,Reasons for pursuing financing at large bank,Existing relationship with lender,71%,280
$1 million-$5 million,Reasons for pursuing financing at large bank,Chance of being funded,28%,280
$1 million-$5 million,Reasons for pursuing financing at large bank,Speed or decision of funding,24%,280
$1 million-$5 million,Reasons for pursuing financing at large bank,Cost or interest rate,23%,280
$1 million-$5 million,Reasons for pursuing financing at large bank,No collateral was required,16%,280
$1 million-$5 million,Reasons for pursuing financing at large bank,Recommendation or referral,15%,280
$1 million-$5 million,Reasons for pursuing financing at large bank,Flexibility of product,12%,280
$1 million-$5 million,Reasons for pursuing financing at large bank,Denied by other lender(s),10%,280
$1 million-$5 million,Reasons for pursuing financing at large bank,Other,1%,280
"$50,001-$100,000",Reasons for pursuing financing at online lender,Chance of being funded,46%,55
"$50,001-$100,000",Reasons for pursuing financing at online lender,Speed or decision of funding,44%,55
"$50,001-$100,000",Reasons for pursuing financing at online lender,Existing relationship with lender,39%,55
"$50,001-$100,000",Reasons for pursuing financing at online lender,Cost or interest rate,31%,55
"$50,001-$100,000",Reasons for pursuing financing at online lender,Denied by other lender(s),30%,55
"$50,001-$100,000",Reasons for pursuing financing at online lender,No collateral was required,27%,55
"$50,001-$100,000",Reasons for pursuing financing at online lender,Flexibility of product,25%,55
"$50,001-$100,000",Reasons for pursuing financing at online lender,Recommendation or referral,23%,55
"$50,001-$100,000",Reasons for pursuing financing at online lender,Other,0%,55
"$500,001-$1 million",Reasons for pursuing financing at online lender,Chance of being funded,65%,136
"$500,001-$1 million",Reasons for pursuing financing at online lender,Speed or decision of funding,61%,136
"$500,001-$1 million",Reasons for pursuing financing at online lender,No collateral was required,47%,136
"$500,001-$1 million",Reasons for pursuing financing at online lender,Denied by other lender(s),34%,136
"$500,001-$1 million",Reasons for pursuing financing at online lender,Cost or interest rate,31%,136
"$500,001-$1 million",Reasons for pursuing financing at online lender,Existing relationship with lender,20%,136
"$500,001-$1 million",Reasons for pursuing financing at online lender,Flexibility of product,19%,136
"$500,001-$1 million",Reasons for pursuing financing at online lender,Recommendation or referral,5%,136
"$500,001-$1 million",Reasons for pursuing financing at online lender,Other,1%,136
"$100,001-$250,000",Reasons for pursuing financing at online lender,Speed or decision of funding,48%,151
"$100,001-$250,000",Reasons for pursuing financing at online lender,Chance of being funded,45%,151
"$100,001-$250,000",Reasons for pursuing financing at online lender,No collateral was required,38%,151
"$100,001-$250,000",Reasons for pursuing financing at online lender,Denied by other lender(s),33%,151
"$100,001-$250,000",Reasons for pursuing financing at online lender,Existing relationship with lender,19%,151
"$100,001-$250,000",Reasons for pursuing financing at online lender,Cost or interest rate,17%,151
"$100,001-$250,000",Reasons for pursuing financing at online lender,Flexibility of product,16%,151
"$100,001-$250,000",Reasons for pursuing financing at online lender,Recommendation or referral,14%,151
"$100,001-$250,000",Reasons for pursuing financing at online lender,Other,0%,151
"$250,001-$500,000",Reasons for pursuing financing at online lender,Speed or decision of funding,53%,155
"$250,001-$500,000",Reasons for pursuing financing at online lender,Chance of being funded,52%,155
"$250,001-$500,000",Reasons for pursuing financing at online lender,Denied by other lender(s),41%,155
"$250,001-$500,000",Reasons for pursuing financing at online lender,Existing relationship with lender,36%,155
"$250,001-$500,000",Reasons for pursuing financing at online lender,No collateral was required,33%,155
"$250,001-$500,000",Reasons for pursuing financing at online lender,Flexibility of product,20%,155
"$250,001-$500,000",Reasons for pursuing financing at online lender,Cost or interest rate,19%,155
"$250,001-$500,000",Reasons for pursuing financing at online lender,Recommendation or referral,12%,155
"$250,001-$500,000",Reasons for pursuing financing at online lender,Other,1%,155
$1 million-$5 million,Reasons for pursuing financing at online lender,Chance of being funded,57%,171
$1 million-$5 million,Reasons for pursuing financing at online lender,Speed or decision of funding,57%,171
$1 million-$5 million,Reasons for pursuing financing at online lender,No collateral was required,49%,171
$1 million-$5 million,Reasons for pursuing financing at online lender,Denied by other lender(s),31%,171
$1 million-$5 million,Reasons for pursuing financing at online lender,Existing relationship with lender,28%,171
$1 million-$5 million,Reasons for pursuing financing at online lender,Flexibility of product,25%,171
$1 million-$5 million,Reasons for pursuing financing at online lender,Cost or interest rate,20%,171
$1 million-$5 million,Reasons for pursuing financing at online lender,Recommendation or referral,10%,171
$1 million-$5 million,Reasons for pursuing financing at online lender,Other,2%,171
$5 million-$10 million,Reasons for pursuing financing at small bank,Existing relationship with lender,81%,67
$5 million-$10 million,Reasons for pursuing financing at small bank,Chance of being funded,37%,67
$5 million-$10 million,Reasons for pursuing financing at small bank,Speed or decision of funding,35%,67
$5 million-$10 million,Reasons for pursuing financing at small bank,Cost or interest rate,23%,67
$5 million-$10 million,Reasons for pursuing financing at small bank,Flexibility of product,16%,67
$5 million-$10 million,Reasons for pursuing financing at small bank,Recommendation or referral,5%,67
$5 million-$10 million,Reasons for pursuing financing at small bank,No collateral was required,4%,67
$5 million-$10 million,Reasons for pursuing financing at small bank,Denied by other lender(s),2%,67
$5 million-$10 million,Reasons for pursuing financing at small bank,Other,2%,67
More than $10 million,Reasons for pursuing financing at small bank,Existing relationship with lender,87%,81
More than $10 million,Reasons for pursuing financing at small bank,Speed or decision of funding,38%,81
More than $10 million,Reasons for pursuing financing at small bank,Chance of being funded,20%,81
More than $10 million,Reasons for pursuing financing at small bank,Cost or interest rate,20%,81
More than $10 million,Reasons for pursuing financing at small bank,Recommendation or referral,15%,81
More than $10 million,Reasons for pursuing financing at small bank,Flexibility of product,5%,81
More than $10 million,Reasons for pursuing financing at small bank,No collateral was required,4%,81
More than $10 million,Reasons for pursuing financing at small bank,Denied by other lender(s),2%,81
More than $10 million,Reasons for pursuing financing at small bank,Other,0%,81
"$100,001-$250,000",Reasons for pursuing financing at small bank,Existing relationship with lender,75%,83
"$100,001-$250,000",Reasons for pursuing financing at small bank,Chance of being funded,34%,83
"$100,001-$250,000",Reasons for pursuing financing at small bank,Speed or decision of funding,27%,83
"$100,001-$250,000",Reasons for pursuing financing at small bank,Denied by other lender(s),16%,83
"$100,001-$250,000",Reasons for pursuing financing at small bank,No collateral was required,14%,83
"$100,001-$250,000",Reasons for pursuing financing at small bank,Flexibility of product,10%,83
"$100,001-$250,000",Reasons for pursuing financing at small bank,Recommendation or referral,10%,83
"$100,001-$250,000",Reasons for pursuing financing at small bank,Cost or interest rate,5%,83
"$100,001-$250,000",Reasons for pursuing financing at small bank,Other,0%,83
"$250,001-$500,000",Reasons for pursuing financing at small bank,Existing relationship with lender,50%,102
"$250,001-$500,000",Reasons for pursuing financing at small bank,Speed or decision of funding,29%,102
"$250,001-$500,000",Reasons for pursuing financing at small bank,Chance of being funded,26%,102
"$250,001-$500,000",Reasons for pursuing financing at small bank,Flexibility of product,25%,102
"$250,001-$500,000",Reasons for pursuing financing at small bank,Recommendation or referral,24%,102
"$250,001-$500,000",Reasons for pursuing financing at small bank,Cost or interest rate,24%,102
"$250,001-$500,000",Reasons for pursuing financing at small bank,Denied by other lender(s),11%,102
"$250,001-$500,000",Reasons for pursuing financing at small bank,No collateral was required,10%,102
"$250,001-$500,000",Reasons for pursuing financing at small bank,Other,3%,102
"$500,001-$1 million",Reasons for pursuing financing at small bank,Existing relationship with lender,62%,125
"$500,001-$1 million",Reasons for pursuing financing at small bank,Chance of being funded,31%,125
"$500,001-$1 million",Reasons for pursuing financing at small bank,Cost or interest rate,27%,125
"$500,001-$1 million",Reasons for pursuing financing at small bank,Speed or decision of funding,26%,125
"$500,001-$1 million",Reasons for pursuing financing at small bank,Recommendation or referral,17%,125
"$500,001-$1 million",Reasons for pursuing financing at small bank,No collateral was required,14%,125
"$500,001-$1 million",Reasons for pursuing financing at small bank,Flexibility of product,13%,125
"$500,001-$1 million",Reasons for pursuing financing at small bank,Denied by other lender(s),4%,125
"$500,001-$1 million",Reasons for pursuing financing at small bank,Other,2%,125
$1 million-$5 million,Reasons for pursuing financing at small bank,Existing relationship with lender,74%,221
$1 million-$5 million,Reasons for pursuing financing at small bank,Chance of being funded,30%,221
$1 million-$5 million,Reasons for pursuing financing at small bank,Speed or decision of funding,30%,221
$1 million-$5 million,Reasons for pursuing financing at small bank,Cost or interest rate,28%,221
$1 million-$5 million,Reasons for pursuing financing at small bank,Recommendation or referral,16%,221
$1 million-$5 million,Reasons for pursuing financing at small bank,Flexibility of product,14%,221
$1 million-$5 million,Reasons for pursuing financing at small bank,Denied by other lender(s),10%,221
$1 million-$5 million,Reasons for pursuing financing at small bank,No collateral was required,5%,221
$1 million-$5 million,Reasons for pursuing financing at small bank,Other,0%,221
"$25,001-$50,000","Revenue change, prior 12 months",Decreased,26%,271
"$25,001-$50,000","Revenue change, prior 12 months",No change,28%,271
"$25,001-$50,000","Revenue change, prior 12 months",Increased,46%,271
"$0-$25,000","Revenue change, prior 12 months",Decreased,21%,345
"$0-$25,000","Revenue change, prior 12 months",No change,32%,345
"$0-$25,000","Revenue change, prior 12 months",Increased,48%,345
$5 million-$10 million,"Revenue change, prior 12 months",Decreased,42%,352
$5 million-$10 million,"Revenue change, prior 12 months",No change,16%,352
$5 million-$10 million,"Revenue change, prior 12 months",Increased,42%,352
More than $10 million,"Revenue change, prior 12 months",Decreased,40%,397
More than $10 million,"Revenue change, prior 12 months",No change,16%,397
More than $10 million,"Revenue change, prior 12 months",Increased,44%,397
"$50,001-$100,000","Revenue change, prior 12 months",Decreased,42%,513
"$50,001-$100,000","Revenue change, prior 12 months",No change,23%,513
"$50,001-$100,000","Revenue change, prior 12 months",Increased,35%,513
"$100,001-$250,000","Revenue change, prior 12 months",Decreased,43%,1035
"$100,001-$250,000","Revenue change, prior 12 months",No change,23%,1035
"$100,001-$250,000","Revenue change, prior 12 months",Increased,34%,1035
"$250,001-$500,000","Revenue change, prior 12 months",Decreased,48%,1201
"$250,001-$500,000","Revenue change, prior 12 months",No change,20%,1201
"$250,001-$500,000","Revenue change, prior 12 months",Increased,32%,1201
"$500,001-$1 million","Revenue change, prior 12 months",Decreased,43%,1282
"$500,001-$1 million","Revenue change, prior 12 months",No change,20%,1282
"$500,001-$1 million","Revenue change, prior 12 months",Increased,37%,1282
$1 million-$5 million,"Revenue change, prior 12 months",Decreased,43%,1796
$1 million-$5 million,"Revenue change, prior 12 months",No change,18%,1796
$1 million-$5 million,"Revenue change, prior 12 months",Increased,39%,1796
"$25,001-$50,000","Revenue expectations, next 12 months",Will decrease,11%,278
"$25,001-$50,000","Revenue expectations, next 12 months",Will not change,27%,278
"$25,001-$50,000","Revenue expectations, next 12 months",Will increase,62%,278
"$0-$25,000","Revenue expectations, next 12 months",Will decrease,8%,343
"$0-$25,000","Revenue expectations, next 12 months",Will not change,9%,343
"$0-$25,000","Revenue expectations, next 12 months",Will increase,83%,343
$5 million-$10 million,"Revenue expectations, next 12 months",Will decrease,16%,358
$5 million-$10 million,"Revenue expectations, next 12 months",Will not change,26%,358
$5 million-$10 million,"Revenue expectations, next 12 months",Will increase,59%,358
More than $10 million,"Revenue expectations, next 12 months",Will decrease,22%,401
More than $10 million,"Revenue expectations, next 12 months",Will not change,17%,401
More than $10 million,"Revenue expectations, next 12 months",Will increase,61%,401
"$50,001-$100,000","Revenue expectations, next 12 months",Will decrease,18%,522
"$50,001-$100,000","Revenue expectations, next 12 months",Will not change,17%,522
"$50,001-$100,000","Revenue expectations, next 12 months",Will increase,65%,522
"$100,001-$250,000","Revenue expectations, next 12 months",Will decrease,20%,1046
"$100,001-$250,000","Revenue expectations, next 12 months",Will not change,28%,1046
"$100,001-$250,000","Revenue expectations, next 12 months",Will increase,52%,1046
"$250,001-$500,000","Revenue expectations, next 12 months",Will decrease,20%,1224
"$250,001-$500,000","Revenue expectations, next 12 months",Will not change,30%,1224
"$250,001-$500,000","Revenue expectations, next 12 months",Will increase,50%,1224
"$500,001-$1 million","Revenue expectations, next 12 months",Will decrease,18%,1307
"$500,001-$1 million","Revenue expectations, next 12 months",Will not change,27%,1307
"$500,001-$1 million","Revenue expectations, next 12 months",Will increase,55%,1307
$1 million-$5 million,"Revenue expectations, next 12 months",Will decrease,23%,1825
$1 million-$5 million,"Revenue expectations, next 12 months",Will not change,25%,1825
$1 million-$5 million,"Revenue expectations, next 12 months",Will increase,52%,1825
"$500,001-$1 million","Satisfaction rating, finance company",Satisfied,52%,55
"$500,001-$1 million","Satisfaction rating, finance company",Neutral,33%,55
"$500,001-$1 million","Satisfaction rating, finance company",Dissatisfied,15%,55
$1 million-$5 million,"Satisfaction rating, finance company",Satisfied,46%,87
$1 million-$5 million,"Satisfaction rating, finance company",Neutral,42%,87
$1 million-$5 million,"Satisfaction rating, finance company",Dissatisfied,12%,87
$5 million-$10 million,"Satisfaction rating, large bank",Satisfied,61%,59
$5 million-$10 million,"Satisfaction rating, large bank",Neutral,35%,59
$5 million-$10 million,"Satisfaction rating, large bank",Dissatisfied,4%,59
"$100,001-$250,000","Satisfaction rating, large bank",Satisfied,44%,83
"$100,001-$250,000","Satisfaction rating, large bank",Neutral,28%,83
"$100,001-$250,000","Satisfaction rating, large bank",Dissatisfied,28%,83
More than $10 million,"Satisfaction rating, large bank",Satisfied,75%,87
More than $10 million,"Satisfaction rating, large bank",Neutral,23%,87
More than $10 million,"Satisfaction rating, large bank",Dissatisfied,2%,87
"$250,001-$500,000","Satisfaction rating, large bank",Satisfied,60%,96
"$250,001-$500,000","Satisfaction rating, large bank",Neutral,31%,96
"$250,001-$500,000","Satisfaction rating, large bank",Dissatisfied,9%,96
"$500,001-$1 million","Satisfaction rating, large bank",Satisfied,58%,118
"$500,001-$1 million","Satisfaction rating, large bank",Neutral,35%,118
"$500,001-$1 million","Satisfaction rating, large bank",Dissatisfied,6%,118
$1 million-$5 million,"Satisfaction rating, large bank",Satisfied,69%,190
$1 million-$5 million,"Satisfaction rating, large bank",Neutral,23%,190
$1 million-$5 million,"Satisfaction rating, large bank",Dissatisfied,8%,190
"$100,001-$250,000","Satisfaction rating, online lender",Neutral,40%,95
"$100,001-$250,000","Satisfaction rating, online lender",Satisfied,31%,95
"$100,001-$250,000","Satisfaction rating, online lender",Dissatisfied,29%,95
"$250,001-$500,000","Satisfaction rating, online lender",Neutral,37%,113
"$250,001-$500,000","Satisfaction rating, online lender",Satisfied,33%,113
"$250,001-$500,000","Satisfaction rating, online lender",Dissatisfied,31%,113
"$500,001-$1 million","Satisfaction rating, online lender",Neutral,46%,113
"$500,001-$1 million","Satisfaction rating, online lender",Dissatisfied,29%,113
"$500,001-$1 million","Satisfaction rating, online lender",Satisfied,25%,113
$1 million-$5 million,"Satisfaction rating, online lender",Neutral,44%,137
$1 million-$5 million,"Satisfaction rating, online lender",Dissatisfied,28%,137
$1 million-$5 million,"Satisfaction rating, online lender",Satisfied,28%,137
"$100,001-$250,000","Satisfaction rating, small bank",Satisfied,60%,54
"$100,001-$250,000","Satisfaction rating, small bank",Dissatisfied,24%,54
"$100,001-$250,000","Satisfaction rating, small bank",Neutral,16%,54
$5 million-$10 million,"Satisfaction rating, small bank",Satisfied,68%,58
$5 million-$10 million,"Satisfaction rating, small bank",Neutral,31%,58
$5 million-$10 million,"Satisfaction rating, small bank",Dissatisfied,1%,58
"$250,001-$500,000","Satisfaction rating, small bank",Satisfied,51%,72
"$250,001-$500,000","Satisfaction rating, small bank",Neutral,36%,72
"$250,001-$500,000","Satisfaction rating, small bank",Dissatisfied,13%,72
More than $10 million,"Satisfaction rating, small bank",Satisfied,88%,76
More than $10 million,"Satisfaction rating, small bank",Neutral,10%,76
More than $10 million,"Satisfaction rating, small bank",Dissatisfied,2%,76
"$500,001-$1 million","Satisfaction rating, small bank",Satisfied,70%,85
"$500,001-$1 million","Satisfaction rating, small bank",Neutral,21%,85
"$500,001-$1 million","Satisfaction rating, small bank",Dissatisfied,9%,85
$1 million-$5 million,"Satisfaction rating, small bank",Satisfied,75%,168
$1 million-$5 million,"Satisfaction rating, small bank",Neutral,17%,168
$1 million-$5 million,"Satisfaction rating, small bank",Dissatisfied,8%,168
"$25,001-$50,000",Source of 10% or more of total sales in 2023,Individuals,80%,211
"$25,001-$50,000",Source of 10% or more of total sales in 2023,"Other businesses and/or organizations, including distributors of your product(s)",40%,211
"$25,001-$50,000",Source of 10% or more of total sales in 2023,"State and local government, including school districts, transportation authorities, etc.",14%,211
"$25,001-$50,000",Source of 10% or more of total sales in 2023,Business did not have any sales in 2023,5%,211
"$25,001-$50,000",Source of 10% or more of total sales in 2023,"Federal government, including military",4%,211
"$0-$25,000",Source of 10% or more of total sales in 2023,Individuals,61%,272
"$0-$25,000",Source of 10% or more of total sales in 2023,Business did not have any sales in 2023,27%,272
"$0-$25,000",Source of 10% or more of total sales in 2023,"Other businesses and/or organizations, including distributors of your product(s)",18%,272
"$0-$25,000",Source of 10% or more of total sales in 2023,"State and local government, including school districts, transportation authorities, etc.",7%,272
"$0-$25,000",Source of 10% or more of total sales in 2023,"Federal government, including military",3%,272
$5 million-$10 million,Source of 10% or more of total sales in 2023,"Other businesses and/or organizations, including distributors of your product(s)",65%,300
$5 million-$10 million,Source of 10% or more of total sales in 2023,Individuals,42%,300
$5 million-$10 million,Source of 10% or more of total sales in 2023,"State and local government, including school districts, transportation authorities, etc.",27%,300
$5 million-$10 million,Source of 10% or more of total sales in 2023,"Federal government, including military",11%,300
$5 million-$10 million,Source of 10% or more of total sales in 2023,Business did not have any sales in 2023,3%,300
More than $10 million,Source of 10% or more of total sales in 2023,"Other businesses and/or organizations, including distributors of your product(s)",74%,337
More than $10 million,Source of 10% or more of total sales in 2023,Individuals,38%,337
More than $10 million,Source of 10% or more of total sales in 2023,"State and local government, including school districts, transportation authorities, etc.",27%,337
More than $10 million,Source of 10% or more of total sales in 2023,"Federal government, including military",14%,337
More than $10 million,Source of 10% or more of total sales in 2023,Business did not have any sales in 2023,0%,337
"$50,001-$100,000",Source of 10% or more of total sales in 2023,Individuals,73%,418
"$50,001-$100,000",Source of 10% or more of total sales in 2023,"Other businesses and/or organizations, including distributors of your product(s)",40%,418
"$50,001-$100,000",Source of 10% or more of total sales in 2023,Business did not have any sales in 2023,6%,418
"$50,001-$100,000",Source of 10% or more of total sales in 2023,"State and local government, including school districts, transportation authorities, etc.",5%,418
"$50,001-$100,000",Source of 10% or more of total sales in 2023,"Federal government, including military",4%,418
"$100,001-$250,000",Source of 10% or more of total sales in 2023,Individuals,77%,871
"$100,001-$250,000",Source of 10% or more of total sales in 2023,"Other businesses and/or organizations, including distributors of your product(s)",38%,871
"$100,001-$250,000",Source of 10% or more of total sales in 2023,"State and local government, including school districts, transportation authorities, etc.",9%,871
"$100,001-$250,000",Source of 10% or more of total sales in 2023,Business did not have any sales in 2023,3%,871
"$100,001-$250,000",Source of 10% or more of total sales in 2023,"Federal government, including military",3%,871
"$250,001-$500,000",Source of 10% or more of total sales in 2023,Individuals,77%,1034
"$250,001-$500,000",Source of 10% or more of total sales in 2023,"Other businesses and/or organizations, including distributors of your product(s)",38%,1034
"$250,001-$500,000",Source of 10% or more of total sales in 2023,"State and local government, including school districts, transportation authorities, etc.",14%,1034
"$250,001-$500,000",Source of 10% or more of total sales in 2023,"Federal government, including military",7%,1034
"$250,001-$500,000",Source of 10% or more of total sales in 2023,Business did not have any sales in 2023,1%,1034
"$500,001-$1 million",Source of 10% or more of total sales in 2023,Individuals,72%,1105
"$500,001-$1 million",Source of 10% or more of total sales in 2023,"Other businesses and/or organizations, including distributors of your product(s)",44%,1105
"$500,001-$1 million",Source of 10% or more of total sales in 2023,"State and local government, including school districts, transportation authorities, etc.",17%,1105
